;train;test
LDA;0.030000000000000027;0.05500000000000005
QDA;0.050000000000000044;0.050000000000000044
K_neighbors;0.030000000000000027;0.04500000000000004
LDA with sklearn;0.030000000000000027;0.05500000000000005
QDA with sklearn;0.050000000000000044;0.050000000000000044
